number,name,slug,row,column,width,height,file
1,Hero,hero,1,1,1170,2535,screens/hires_png/01_hero_1170x2535.png
2,Sign-In,sign_in,1,2,1170,2535,screens/hires_png/02_sign_in_1170x2535.png
3,Coach Intro,coach_intro,1,3,1170,2535,screens/hires_png/03_coach_intro_1170x2535.png
4,Coach Question,coach_question,1,4,1170,2535,screens/hires_png/04_coach_question_1170x2535.png
5,Multi-Select,multi_select,2,1,1170,2535,screens/hires_png/05_multi_select_1170x2535.png
6,Glow-Up Proof,glow_up_proof,2,2,1170,2535,screens/hires_png/06_glow_up_proof_1170x2535.png
7,Structure Analysis,structure_analysis,2,3,1170,2535,screens/hires_png/07_structure_analysis_1170x2535.png
8,Face Scan,face_scan,2,4,1170,2535,screens/hires_png/08_face_scan_1170x2535.png
9,Analysing,analysing,3,1,1170,2535,screens/hires_png/09_analysing_1170x2535.png
10,Skin Analysis,skin_analysis,3,2,1170,2535,screens/hires_png/10_skin_analysis_1170x2535.png
11,Dashboard,dashboard,3,3,1170,2535,screens/hires_png/11_dashboard_1170x2535.png
12,Paywall,paywall,3,4,1170,2535,screens/hires_png/12_paywall_1170x2535.png
13,Progress Tab,progress_tab,4,1,1170,2535,screens/hires_png/13_progress_tab_1170x2535.png
14,Scan History,scan_history,4,2,1170,2535,screens/hires_png/14_scan_history_1170x2535.png
15,Compare,compare,4,3,1170,2535,screens/hires_png/15_compare_1170x2535.png
16,Routine Tab,routine_tab,4,4,1170,2535,screens/hires_png/16_routine_tab_1170x2535.png
17,Exercise Player,exercise_player,5,1,1170,2535,screens/hires_png/17_exercise_player_1170x2535.png
18,FaceCard,facecard,5,2,1170,2535,screens/hires_png/18_facecard_1170x2535.png
19,Face Battles,face_battles,5,3,1170,2535,screens/hires_png/19_face_battles_1170x2535.png
20,Info Hub,info_hub,5,4,1170,2535,screens/hires_png/20_info_hub_1170x2535.png
